x,y,t
0.876097365,-0.462976276,3
0.876861397,-0.482146657,3
0.870752577,-0.493649173,3
0.868461627,-0.507069734,3
0.869224513,-0.525281093,3
0.873043528,-0.532950395,3
0.87991638,-0.542534867,3
0.882207331,-0.554996405,3
0.881443299,-0.569374551,3
0.87991638,-0.579918045,3
0.886789233,-0.590462976,3
0.893662085,-0.598130841,3
0.900534937,-0.609633357,3
0.903588774,-0.625928109,3
0.898243986,-0.638389648,3
0.895189003,-0.651808771,3
0.884498282,-0.66139468,3
0.871515464,-0.669062545,3
0.863879725,-0.675772825,3
0.857006873,-0.680565061,3
0.848605956,-0.688234364,3
0.842497136,-0.695902229,3
0.833333333,-0.6930266,3
0.829515464,-0.701653487,3
0.82187858,-0.709321352,3
0.811950745,-0.710280374,3
0.79820504,-0.709321352,3
0.790569301,-0.710280374,3
0.780641466,-0.711239396,3
0.770713631,-0.716990654,3
0.763840779,-0.72178289,3
0.755441008,-0.729450755,3
0.744750286,-0.734244428,3
0.734058419,-0.740953271,3
0.720312715,-0.740953271,3
0.709621993,-0.732326384,3
0.695876289,-0.737120058,3
0.683657503,-0.734244428,3
0.671439863,-0.72849317,3
0.659985109,-0.716031632,3
0.649293242,-0.712196981,3
0.639366552,-0.71507261,3
0.631729668,-0.718907261,3
0.621801833,-0.720823868,3
0.614166094,-0.716990654,3
0.605765178,-0.710280374,3
0.598129439,-0.701653487,3
0.592783505,-0.6930266,3
0.582092784,-0.681524083,3
0.575982818,-0.671938174,3
0.567583047,-0.660435658,3
0.561474227,-0.652767793,3
0.554601375,-0.635514019,3
0.547728522,-0.627846154,3
0.542382589,-0.614425593,3
0.537036655,-0.603882099,3
0.525581901,-0.593338605,3
0.51489118,-0.586628325,3
0.508018328,-0.575125809,3
0.504200458,-0.564582315,3
0.501145475,-0.552120776,3
0.495036655,-0.546369518,3
0.48892669,-0.539659238,3
0.485872852,-0.530074766,3
0.481290951,-0.520488857,3
0.475945017,-0.512820992,3
0.471363116,-0.507069734,3
0.467545246,-0.498442847,3
0.462199313,-0.491732566,3
0.457617411,-0.482146657,3
0.452271478,-0.476395399,3
0.447689576,-0.468727534,3
0.443871707,-0.462976276,3
0.438525773,-0.459141625,3
